kg_id,kg_label,onto_id,onto_label,decision,note
ARDS_POI:01018,Alveolar Overdistension Prevention,ARDS_POI:02589,Alveolar overdistension,,
ARDS_POI:01068,alveolar recruitment maneuver,ARDS_POI:01807,Alveolar recruitment,,
ARDS_POI:01082,Pressure Support Ventilation Weaning,ARDS_POI:01849,Pressure Support Ventilation,,
ARDS_POI:01110,Physical Therapy,ARDS_POI:02080,"Physical Therapy, Intensive",,
ARDS_POI:01111,Physical Therapy,ARDS_POI:02080,"Physical Therapy, Intensive",,
ARDS_POI:01135,Infection,ARDS_POI:02360,Opportunistic Fungal Infection,,
ARDS_POI:01147,Esophageal pressure-guided mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01170,No improvement in survival or organ function,ARDS_POI:01535,Organ Function,,
ARDS_POI:01173,Inferior vena cava diameter changes,ARDS_POI:01172,Inferior vena cava diameter,,
ARDS_POI:01174,Fluid responsiveness,ARDS_POI:02395,Fluid responsiveness assessment,,
ARDS_POI:01187,Acute Lung Injury diagnosis,ARDS_POI:02715,Acute lung injury,,
ARDS_POI:01215,Handgrip Strength,ARDS_POI:01212,Grip Strength,,
ARDS_POI:01216,Muscle Strength Assessment,ARDS_POI:02749,Muscle Strength,,
ARDS_POI:01236,Mortality reduction,ARDS_POI:01895,Mortality,,
ARDS_POI:01252,Lung injury,ARDS_POI:02334,Ventilator-Induced Lung Injury,,
ARDS_POI:01264,Severe acute hypoxemic respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01266,Hypoxemic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01280,Postextubation respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01284,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:01289,delirium-free survival,ARDS_POI:01854,Delirium,,
ARDS_POI:01328,lung injury,ARDS_POI:02334,Ventilator-Induced Lung Injury,,
ARDS_POI:01333,Fluid responsiveness,ARDS_POI:02395,Fluid responsiveness assessment,,
ARDS_POI:01340,Duration of mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01341,Hypoxemic respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01345,Hematologic Neoplasms,ARDS_POI:01948,Neoplasms,,
ARDS_POI:01392,Lung Ultrasound Score,ARDS_POI:01059,Lung ultrasound,,
ARDS_POI:01394,Lung Ultrasound Score,ARDS_POI:01059,Lung ultrasound,,
ARDS_POI:01396,Lung Ultrasound Score,ARDS_POI:01059,Lung ultrasound,,
ARDS_POI:01484,28-day mortality,ARDS_POI:01895,Mortality,,
ARDS_POI:01486,Delirium-free and coma-free days,ARDS_POI:01854,Delirium,,
ARDS_POI:01515,Pressure support ventilation spontaneous breathing trial,ARDS_POI:01981,Spontaneous Breathing Trial,,
ARDS_POI:01516,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:01517,Spontaneous Breathing Trial Failure,ARDS_POI:01981,Spontaneous Breathing Trial,,
ARDS_POI:01542,Physical Therapy,ARDS_POI:02080,"Physical Therapy, Intensive",,
ARDS_POI:01552,Ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01553,Post-COVID-19 Period,ARDS_POI:02785,COVID-19,,
ARDS_POI:01566,Mechanical ventilation weaning,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01570,Chronic Obstructive Pulmonary Disease with Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01575,Spontaneous breathing,ARDS_POI:01981,Spontaneous Breathing Trial,,
ARDS_POI:01576,Cardiopulmonary function,ARDS_POI:01534,Pulmonary Function,,
ARDS_POI:01587,Reduced oxygen therapy duration,ARDS_POI:01675,Oxygen therapy,,
ARDS_POI:01610,Helmet Noninvasive Ventilation,ARDS_POI:02751,Noninvasive ventilation,,
ARDS_POI:01619,Postextubation Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01620,Postextubation respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01632,Hypoxemic respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01638,Postextubation respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01646,Airway Pressure,ARDS_POI:02505,Airway Pressure Release Ventilation,,
ARDS_POI:01655,Difficult weaning from mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01678,Acute Hypoxemic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01695,Spirometry,ARDS_POI:02213,Incentive Spirometry,,
ARDS_POI:01697,Postoperative Pulmonary Function,ARDS_POI:01534,Pulmonary Function,,
ARDS_POI:01700,Lung Neoplasms,ARDS_POI:01948,Neoplasms,,
ARDS_POI:01708,Shock or respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01709,Shock and respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01714,Hypercapnic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01723,Nasal positive pressure ventilation with supplemental oxygen,ARDS_POI:01158,Positive-Pressure Ventilation,,
ARDS_POI:01738,Acute Lung Injury incidence,ARDS_POI:02715,Acute lung injury,,
ARDS_POI:01745,Inspiratory pressure support,ARDS_POI:02535,time-cycled inspiratory pressure support ventilation,,
ARDS_POI:01806,28-day mortality,ARDS_POI:01895,Mortality,,
ARDS_POI:01822,vascular permeability,ARDS_POI:01210,Lung Microvascular Permeability,,
ARDS_POI:01859,Hypercapnic respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01861,Hypercapnic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01885,Acute Hypoxemic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:01887,Mechanical ventilation duration,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01902,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:01912,Mechanical Ventilation Duration,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01918,Handgrip Strength,ARDS_POI:01212,Grip Strength,,
ARDS_POI:01954,Critical Illness Polyneuropathy and Myopathy,ARDS_POI:02071,Critical Illness,,
ARDS_POI:01958,Weaning from mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:01960,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:02006,Lung Recruitment,ARDS_POI:02632,Lung recruitment maneuver,,
ARDS_POI:02032,Pulmonary Vasodilation,ARDS_POI:01208,Vasodilation,,
ARDS_POI:02035,severe acute respiratory syndrome critical illness,ARDS_POI:02071,Critical Illness,,
ARDS_POI:02055,Cardiogenic Pulmonary Edema,ARDS_POI:02550,Pulmonary Edema,,
ARDS_POI:02073,Pathophysiology of Critical Illness,ARDS_POI:02071,Critical Illness,,
ARDS_POI:02076,Intraoperative lung protective ventilation,ARDS_POI:02075,Protective Ventilation,,
ARDS_POI:02083,Muscle weakness prevention,ARDS_POI:02750,Muscle Weakness,,
ARDS_POI:02096,Weaning from mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:02132,Organ dysfunction,ARDS_POI:01318,Organ Dysfunction Prevention,,
ARDS_POI:02136,Pulmonary function testing,ARDS_POI:01534,Pulmonary Function,,
ARDS_POI:02143,Work of breathing,ARDS_POI:02047,Work of Breathing Reduction by Non-invasive Positive Pressure Ventilation,,
ARDS_POI:02145,Work of breathing,ARDS_POI:02047,Work of Breathing Reduction by Non-invasive Positive Pressure Ventilation,,
ARDS_POI:02149,work of breathing,ARDS_POI:02047,Work of Breathing Reduction by Non-invasive Positive Pressure Ventilation,,
ARDS_POI:02150,Mechanical Ventilation Dependence,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:02152,Non-invasive ventilation with full-face mask,ARDS_POI:02625,Non-invasive ventilation,,
ARDS_POI:02153,Nasal mask non-invasive mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:02154,Nasal plugs for non-invasive mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:02157,Hypercapnic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:02166,Organ Dysfunction,ARDS_POI:01318,Organ Dysfunction Prevention,,
ARDS_POI:02169,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:02172,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:02179,Weaning,ARDS_POI:01846,Weaning Protocol,,
ARDS_POI:02185,Ventilator-associated pneumonia prevention education,ARDS_POI:01296,Pneumonia,,
ARDS_POI:02186,Ventilator-associated pneumonia,ARDS_POI:01296,Pneumonia,,
ARDS_POI:02224,Omega-3 Fatty Acids,ARDS_POI:01203,Enteral nutrition with omega-3 fatty acids and antioxidants,,
ARDS_POI:02295,Organ dysfunction,ARDS_POI:01318,Organ Dysfunction Prevention,,
ARDS_POI:02314,Nasal Positive Airway Pressure,ARDS_POI:01628,Positive Airway Pressure,,
ARDS_POI:02321,Early mobilization protocol,ARDS_POI:02325,Early Mobilization,,
ARDS_POI:02337,bronchoalveolar lavage fluid eosinophilia,ARDS_POI:02793,Bronchoalveolar lavage,,
ARDS_POI:02341,Impaired Gas Exchange,ARDS_POI:01808,Gas Exchange,,
ARDS_POI:02362,Risk factors for critical illness,ARDS_POI:02071,Critical Illness,,
ARDS_POI:02375,Liberal oxygen therapy,ARDS_POI:01675,Oxygen therapy,,
ARDS_POI:02382,Liberal oxygen therapy,ARDS_POI:01675,Oxygen therapy,,
ARDS_POI:02413,Postoperative respiratory failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:02419,Continuous positive airway pressure therapy,ARDS_POI:01628,Positive Airway Pressure,,
ARDS_POI:02457,Hypoxemic Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:02474,Lung recruitment,ARDS_POI:02632,Lung recruitment maneuver,,
ARDS_POI:02508,Airway Pressure,ARDS_POI:02505,Airway Pressure Release Ventilation,,
ARDS_POI:02554,Infection,ARDS_POI:02360,Opportunistic Fungal Infection,,
ARDS_POI:02556,Aging,ARDS_POI:01851,Success Messaging,,
ARDS_POI:02599,Chronic Obstructive Pulmonary Disease with Acute Respiratory Failure,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:02639,Respiratory muscle weakness,ARDS_POI:02264,Mechanical Ventilation-Induced Respiratory Muscle Weakness,,
ARDS_POI:02681,Ventilator-Induced Lung Injury prevention,ARDS_POI:02334,Ventilator-Induced Lung Injury,,
ARDS_POI:02692,Acute respiratory failure in COPD,ARDS_POI:01496,Respiratory Failure,,
ARDS_POI:02720,Unplanned extubation,ARDS_POI:02719,unplanned extubation prevention,,
ARDS_POI:02737,Delayed mechanical ventilation,ARDS_POI:02636,Mechanical ventilation,,
ARDS_POI:02746,Muscle Weakness Resolution,ARDS_POI:02750,Muscle Weakness,,
ARDS_POI:02752,Assisted coughing and noninvasive ventilation,ARDS_POI:02751,Noninvasive ventilation,,
ARDS_POI:02753,Extubation,ARDS_POI:01831,Extubation failure,,
ARDS_POI:02775,Breath stacking prevention,ARDS_POI:02776,Breath Stacking,,
ARDS_POI:02803,Non-invasive positive pressure ventilation for acute respiratory failure,ARDS_POI:01158,Positive-Pressure Ventilation,,
ARDS_POI:02822,Cough,ARDS_POI:01282,cough flow measurement,,
