poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int,xref_CHEBI,xref_GO,xref_MONDO,normalized_label,original_label,norm_method,norm_confidence
ARDS_POI:01001,dependent-lung-atelectasis-olv-specific,Dependent Lung Atelectasis (Olv Specific),POI_mechanism,biological-process,,,DOID:9956,D001261,C0004144,mechanism_node,38065200,1,,GO:0097553,,Atelectasis,Dependent Lung Atelectasis (Olv Specific),rule,HIGH
ARDS_POI:01002,gravity-induced-alveolar-compression,Gravity Induced Alveolar Compression,POI_mechanism,biological-process,,,,,,mechanism_node,7633703|9817720|16618955|12574072|38065200|32479829,6,,GO:0097553,,Gravity-dependent alveolar compression,Gravity Induced Alveolar Compression,rule,HIGH
ARDS_POI:01003,optimal-alveolar-recruitment-pressure,Optimal Alveolar Recruitment Pressure,POI_mechanism,biological-process,,,,D000072601,,mechanism_node,7633703|9817720|16618955|11967593|12574072|38065200|19910610|32479829|32697482,9,,GO:0045087,,Alveolar recruitment,Optimal Alveolar Recruitment Pressure,rule,HIGH
ARDS_POI:01004,respiratory-system-compliance-optimisation,Respiratory System Compliance Optimisation,POI_mechanism,biological-process,,,,D012128,C0034096,mechanism_node,7633703|16618955|17167013|12574072|38065200|32479829|32697482,7,,,,Respiratory system compliance,Respiratory System Compliance Optimisation,rule,HIGH
ARDS_POI:01005,postoperative-diaphragmatic-dysfunction,Postoperative Diaphragmatic Dysfunction,POI_mechanism,biological-process,,,,D004079,,mechanism_node,32479829|12574072|38065200|16618955,4,,,,Diaphragmatic dysfunction,Postoperative Diaphragmatic Dysfunction,rule,HIGH
ARDS_POI:01006,dexamethasone-treatment-for-hospitalized-covid-19,dexamethasone treatment for hospitalized COVID-19,POI_intervention,glucocorticoid-drug-therapy,Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.,,DOID:0080600,D059495,C5203912,robot_template_row,32678530,1,CHEBI:41879,,,Dexamethasone,dexamethasone treatment for hospitalized COVID-19,rule,HIGH
ARDS_POI:01007,dexamethasone-treatment-hospitalized-covid19,Dexamethasone treatment for hospitalized COVID-19,POI_intervention,,,,,D003907,C0012634,kg_nodes,32678530,1,CHEBI:41879,,,Dexamethasone,Dexamethasone treatment for hospitalized COVID-19,rule,HIGH
ARDS_POI:01008,reduced-28d-mortality-hospitalized-covid19,Reduced 28-day mortality in hospitalized COVID-19,POI_outcome,,,,DOID:0080600,D008875,C0221198,kg_nodes,32678530,1,,,,COVID-19,Reduced 28-day mortality in hospitalized COVID-19,rule,HIGH
ARDS_POI:01009,hospitalized-covid19,Hospitalized COVID-19,POI_context,,,,DOID:0080600,D059495,C5203912,kg_nodes,32678530,1,,,,COVID-19,Hospitalized COVID-19,rule,HIGH
ARDS_POI:01010,protective-mechanical-ventilation,Protective mechanical ventilation,POI_intervention,lung-protective-ventilation-strategy,"Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.",,DOID:11394,D012128,C0035222,robot_template_row,9449727,1,,,,Mechanical ventilation,Protective mechanical ventilation,rule,HIGH
ARDS_POI:01011,reduced-mortality-28d,Reduced mortality at 28 days,POI_outcome,,,,,D009026,C0026565,kg_nodes,9449727|34480127,2,,,,Mortality,Reduced mortality at 28 days,rule,HIGH
ARDS_POI:01012,higher-rate-weaning-ventilation,Higher rate of weaning from mechanical ventilation,POI_outcome,,,,,D008686,C0199470,kg_nodes,9449727,1,,,,Mechanical ventilation,Higher rate of weaning from mechanical ventilation,rule,HIGH
ARDS_POI:01013,reduced-barotrauma,Reduced clinical barotrauma,POI_outcome,,,,,D001416,C0005326,kg_nodes,9449727|23497608,2,,,,Barotrauma,Reduced clinical barotrauma,rule,HIGH
ARDS_POI:01014,alveolar-collapse-cyclic-reopening,Alveolar collapse and cyclic reopening,POI_mechanism,,,,DOID:9956,D001261,C0004144,kg_nodes,9449727|8520744,2,,GO:0097553,,Atelectasis,Alveolar collapse and cyclic reopening,rule,HIGH
ARDS_POI:01015,alveolar-overdistention,Alveolar overdistention,POI_mechanism,,,,,D055371,C1963265,kg_nodes,9449727,1,,,,Alveolar overdistension,Alveolar overdistention,claude_api,HIGH
ARDS_POI:01016,alveolar-injury-perpetuation,Perpetuation of alveolar injury,POI_mechanism,,,,,D000860,C0856169,kg_nodes,9449727,1,,GO:0035886,,Alveolar injury,Perpetuation of alveolar injury,claude_api,HIGH
ARDS_POI:01017,alveolar-collapse-cyclic-reopening-prevention,Prevention of alveolar collapse and cyclic reopening,POI_mechanism,,,,DOID:9956,D001261,C0004144,kg_nodes,9449727,1,,GO:0097553,,Atelectasis,Prevention of alveolar collapse and cyclic reopening,rule,HIGH
ARDS_POI:01018,alveolar-overdistention-prevention,Prevention of alveolar overdistention,POI_mechanism,,,,,D056149,C1881830,kg_nodes,9449727,1,,,,Alveolar Overdistension Prevention,Prevention of alveolar overdistention,claude_api,HIGH
ARDS_POI:01019,acute-respiratory-distress-syndrome,Acute respiratory distress syndrome,POI_disease,,,,DOID:11394,D012128,C0035222,kg_nodes,11790214|30455077|24102072|25268516|8520744|18270352|33915103|11902249|12163791|14668608|32728965|16783553|24853585|33140180|15329426|9449727|16932229|19325471|8706481|30211618|10075054|14707568|9603111|12441753,24,,,MONDO:0100130,Acute respiratory distress syndrome,Acute respiratory distress syndrome,rule,HIGH
ARDS_POI:01020,conservative-fluid-management-strategy,Conservative fluid management strategy,POI_intervention,fluid-management-strategy,Conservative fluid management strategy applied for 7 days in patients with acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,16714767,1,,,,Fluid management,Conservative fluid management strategy,claude_api,MEDIUM
ARDS_POI:01021,conservative-fluid-management,Conservative fluid management strategy,POI_intervention,,,,,D005440,C0150786,kg_nodes,31258917|16714767,2,,,,Fluid management,Conservative fluid management strategy,claude_api,MEDIUM
ARDS_POI:01022,improved-lung-function,Improved lung function,POI_outcome,,,,,D008176,C0035254,kg_nodes,16714767,1,,GO:0007585,,Lung function,Improved lung function,claude_api,HIGH
ARDS_POI:01023,reduced-mechanical-ventilation-duration,Reduced mechanical ventilation duration,POI_outcome,,,,,D053941,C0022726,kg_nodes,17426195|16714767,2,,,,Mechanical ventilation,Reduced mechanical ventilation duration,rule,HIGH
ARDS_POI:01024,reduced-icu-stay-duration,Reduced ICU stay duration,POI_outcome,,,,,D007238,C0021313,kg_nodes,16714767,1,,,,Intensive Care Unit stay duration,Reduced ICU stay duration,claude_api,HIGH
ARDS_POI:01025,no-change-in-nonpulmonary-organ-failures,No change in nonpulmonary organ failures,POI_outcome,,,,,D009102,C0026776,kg_nodes,16714767,1,,,,Organ failure,No change in nonpulmonary organ failures,rule,HIGH
ARDS_POI:01026,acute-lung-injury,Acute lung injury,POI_context,,,,DOID:11394,D012128,C0035222,kg_nodes,11549535|24716641|19103612|19841457|15269312|18270352|11902249|20558628|21976613|19050621|11435237|24247473|15286546|18565951|15644641|7633703|16374174|8275731|9817720|22491953|22307571|8004312|19325471|21562125|12615633|20483951|15034650|16714768|19001507|16081548|16714767|10470568|17944012,33,,,,Acute lung injury,Acute lung injury,rule,HIGH
ARDS_POI:01027,diuresis,Diuresis,POI_mechanism,biological-process,,,,http://purl.bioontology.org/ontology/MESH/D004231,C0012633,mechanism_node,16714767,1,,GO:0035810,,Diuresis,Diuresis,claude_api,HIGH
ARDS_POI:01028,fluid-restriction,Fluid Restriction,POI_mechanism,biological-process,,,,D005440,C0016697,mechanism_node,16714767,1,,,,Fluid Restriction,Fluid Restriction,claude_api,HIGH
ARDS_POI:01029,lung-function-improvement,Lung Function Improvement,POI_mechanism,biological-process,,,,D008168,C0035245,mechanism_node,16714767,1,,GO:0007585,,Lung Function,Lung Function Improvement,claude_api,HIGH
ARDS_POI:01030,extrapulmonary-organ-perfusion,Extrapulmonary Organ Perfusion,POI_mechanism,biological-process,,,,D010477,C0030317,mechanism_node,16714767,1,,GO:0015671,,Organ Perfusion,Extrapulmonary Organ Perfusion,claude_api,MEDIUM
ARDS_POI:01031,extracorporeal-membrane-oxygenation-ecmo,Extracorporeal membrane oxygenation (ECMO),POI_intervention,extracorporeal-life-support,,,DOID:11394,D005033,C0015879,robot_template_row,9315812|19762075|34127027|25062496|23406535,5,,,,Extracorporeal membrane oxygenation,Extracorporeal membrane oxygenation (ECMO),rule,HIGH
ARDS_POI:01032,ecmo,Extracorporeal membrane oxygenation,POI_intervention,,,,,D005033,C0015879,kg_nodes,19762075,1,,,,Extracorporeal membrane oxygenation,Extracorporeal membrane oxygenation,rule,HIGH
ARDS_POI:01033,conventional-ventilation-management,Conventional ventilation management,POI_intervention,,,,,D012121,C0020568,kg_nodes,19762075,1,,,,Mechanical Ventilation,Conventional ventilation management,claude_api,HIGH
