ID	Label	Parent	Definition	Synonym	Xref_DOID	Xref_MESH	Xref_UMLS	Subset	Source_PMIDs	N_Sources
ID	LABEL	SC %	A IAO:0000115	A oboInOwl:hasExactSynonym	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	IN subset	A dcterms:source	A dcterms:description
ARDS_POI:01001	Dependent Lung Atelectasis (Olv Specific)	biological-process						POI_mechanism	38065200	1
ARDS_POI:01002	Gravity Induced Alveolar Compression	biological-process						POI_mechanism	7633703|9817720|16618955|12574072|38065200|32479829	6
ARDS_POI:01003	Optimal Alveolar Recruitment Pressure	biological-process						POI_mechanism	7633703|9817720|16618955|11967593|12574072|38065200|19910610|32479829|32697482	9
ARDS_POI:01004	Respiratory System Compliance Optimisation	biological-process						POI_mechanism	7633703|16618955|17167013|12574072|38065200|32479829|32697482	7
ARDS_POI:01005	Postoperative Diaphragmatic Dysfunction	biological-process						POI_mechanism	32479829|12574072|38065200|16618955	4
ARDS_POI:01006	dexamethasone treatment for hospitalized COVID-19	glucocorticoid-drug-therapy	Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.		DOID:0080600	D059495	C5203912	POI_intervention	32678530	1
ARDS_POI:01007	Dexamethasone treatment for hospitalized COVID-19					D003907	C0012634	POI_intervention	32678530	1
ARDS_POI:01008	Reduced 28-day mortality in hospitalized COVID-19					D008875	C0221198	POI_outcome	32678530	1
ARDS_POI:01009	Hospitalized COVID-19					D059495	C5203912	POI_context	32678530	1
ARDS_POI:01010	Protective mechanical ventilation	ARDS_POI:01066	Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.		DOID:11394	D012128	C0035222	POI_intervention	9449727	1
ARDS_POI:01011	Reduced mortality at 28 days							POI_outcome	9449727|34480127	2
ARDS_POI:01012	Higher rate of weaning from mechanical ventilation							POI_outcome	9449727	1
ARDS_POI:01013	Reduced clinical barotrauma					D001416	C0005326	POI_outcome	9449727|23497608	2
ARDS_POI:01014	Alveolar collapse and cyclic reopening							POI_mechanism	9449727|8520744	2
ARDS_POI:01015	Alveolar overdistention							POI_mechanism	9449727	1
ARDS_POI:01016	Perpetuation of alveolar injury							POI_mechanism	9449727	1
ARDS_POI:01017	Prevention of alveolar collapse and cyclic reopening							POI_mechanism	9449727	1
ARDS_POI:01018	Prevention of alveolar overdistention							POI_mechanism	9449727	1
ARDS_POI:01019	Acute respiratory distress syndrome				DOID:11394	D012128	C0035222	POI_disease	11790214|30455077|24102072|25268516|8520744|18270352|33915103|11902249|12163791|14668608|32728965|16783553|24853585|33140180|15329426|9449727|16932229|19325471|8706481|30211618|10075054|14707568|9603111|12441753	24
ARDS_POI:01020	Conservative fluid management strategy	fluid-management-strategy	Conservative fluid management strategy applied for 7 days in patients with acute lung injury.		DOID:11394	D012128	C0035222	POI_intervention	16714767	1
ARDS_POI:01021	Conservative fluid management strategy							POI_intervention	31258917|16714767	2
ARDS_POI:01022	Improved lung function							POI_outcome	16714767	1
ARDS_POI:01023	Reduced mechanical ventilation duration					D053941	C0022726	POI_outcome	17426195|16714767	2
ARDS_POI:01024	Reduced ICU stay duration					D007238	C0021313	POI_outcome	16714767	1
ARDS_POI:01025	No change in nonpulmonary organ failures							POI_outcome	16714767	1
ARDS_POI:01026	Acute lung injury					D012128	C0035222	POI_context	11549535|24716641|19103612|19841457|15269312|18270352|11902249|20558628|21976613|19050621|11435237|24247473|15286546|18565951|15644641|7633703|16374174|8275731|9817720|22491953|22307571|8004312|19325471|21562125|12615633|20483951|15034650|16714768|19001507|16081548|16714767|10470568|17944012	33
ARDS_POI:01027	Diuresis	biological-process						POI_mechanism	16714767	1
ARDS_POI:01028	Fluid Restriction	biological-process						POI_mechanism	16714767	1
ARDS_POI:01029	Lung Function Improvement	biological-process						POI_mechanism	16714767	1
ARDS_POI:01030	Extrapulmonary Organ Perfusion	biological-process						POI_mechanism	16714767	1
ARDS_POI:01031	Extracorporeal membrane oxygenation (ECMO)	ARDS_POI:02001			DOID:11394	D005033	C0015879	POI_intervention	9315812|19762075|34127027|25062496|23406535	5
ARDS_POI:01032	Extracorporeal membrane oxygenation					D005033	C0015879	POI_intervention	19762075	1
ARDS_POI:01033	Conventional ventilation management							POI_intervention	19762075	1
ARDS_POI:01034	Death or severe disability at 6 months							POI_outcome	19762075	1
ARDS_POI:01035	Severe adult respiratory failure					D012128	C0035222	POI_intervention	19762075	1
ARDS_POI:01036	SARS-CoV-2-induced hypercoagulability							POI_mechanism	32367170	1
ARDS_POI:01037	Thrombotic complications in COVID-19 ARDS							POI_outcome	32367170	1
ARDS_POI:01038	COVID-19-induced endothelial dysfunction							POI_mechanism	32367170	1
ARDS_POI:01039	COVID-19-induced procoagulant state							POI_mechanism	32367170	1
ARDS_POI:01040	COVID-19-associated ARDS					D012128	C0035222	POI_context	32367170|32859264|32616077|32861275|34127027|32697482	6
ARDS_POI:01041	COVID-19					C000657245	C5712302	POI_disease	32367170|33764378|35569448|32616077|33341155|33080002|32483488|34480127|32442528	9
ARDS_POI:01042	Covid 19 Inflammation Mediated Thrombosis	biological-process						POI_mechanism	32367170	1
ARDS_POI:01043	Delirium duration	disease-risk-factor	Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.			D003702	C0011573	POI_mechanism	24088092	1
ARDS_POI:01044	Global cognitive impairment					D002968	C0022407	POI_outcome	24088092	1
ARDS_POI:01045	Executive function impairment					D005049	C0014861	POI_outcome	24088092	1
ARDS_POI:01046	Critical illness context					D003287	C0010520	POI_context	18434379|33009098|10520649|27755068|9279244|27620292|18283429|25855899|24088092|17138955|16204666|9069000|15078758|23689789|35715504|18511703|12006450|25496103|10477776|33080002|27818331|29508705	22
ARDS_POI:01047	Higher PEEP levels	ARDS_POI:01066	Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.		DOID:11394	D012128	C0035222	POI_intervention	15269312	1
ARDS_POI:01048	No difference in mortality or unassisted breathing days							POI_outcome	15269312	1
ARDS_POI:01049	Acute respiratory distress syndrome					D012128	C0035222	POI_context	29466596|8630585|27755068|8569018|19841457|8756805|11967593|15269312|14645314|9228372|8810592|32410714|37633303|9559604|32631393|28877748|19903918|27018314|27611637|27179847|24435203|9769263|8111581|8810593|9603127|12709468|12897997|9105072|28222804|10579250|16137357|27734109|11371406|30048331|30776290|11008997|27983872|10470743|9929089|33784486|23497608|18626628|33876268|10404912|17585106|20483951|10789668|11790648|27342819|15774053|19001507|28108768|11897644|17383982|32861275|17133177|9310799	57
ARDS_POI:01050	Alveolar recruitment pressure optimization							POI_mechanism	15269312	1
ARDS_POI:01051	Lung compliance optimization							POI_mechanism	15269312|8111581	2
ARDS_POI:01052	Ventilator-induced lung injury prevention							POI_mechanism	15269312	1
ARDS_POI:01053	Critically ill COVID-19 adults in NYC							POI_population	32442528	1
ARDS_POI:01054	In-hospital mortality							POI_outcome	32442528	1
ARDS_POI:01055	Invasive mechanical ventilation					D053120	C0199926	POI_outcome	32442528|33823862	2
ARDS_POI:01056	Vasopressor use							POI_outcome	32442528	1
ARDS_POI:01057	Renal replacement therapy							POI_outcome	32442528	1
ARDS_POI:01058	Time to in-hospital deterioration							POI_outcome	32442528	1
ARDS_POI:01059	lung ultrasound for acute respiratory failure diagnosis	diagnostic-imaging-technique	Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.	BLUE protocol	DOID:11394	D012128	C0035222	POI_intervention	18403664	1
ARDS_POI:01060	Lung ultrasound artifacts							POI_mechanism	18403664	1
ARDS_POI:01061	Lung sliding assessment							POI_mechanism	18403664	1
ARDS_POI:01062	Alveolar consolidation detection							POI_mechanism	18403664	1
ARDS_POI:01063	Pleural effusion detection							POI_mechanism	18403664	1
ARDS_POI:01064	Ultrasound profile integration							POI_mechanism	18403664	1
ARDS_POI:01065	Acute respiratory failure diagnosis							POI_outcome	18403664	1
ARDS_POI:01066	Lung-protective ventilation strategy	ventilation-strategy	Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.		DOID:11394	D012128	C0035222	POI_intervention	23902482|10404912	2
ARDS_POI:01067	Reduced pulmonary and systemic cytokine response					D006849	C0006850	POI_outcome	10404912	1
ARDS_POI:01068	Recruitment/derecruitment minimization							POI_mechanism	10404912	1
ARDS_POI:01069	Alveolar overdistention minimization							POI_mechanism	10404912	1
ARDS_POI:01070	Mechanical ventilation outcomes							POI_outcome	11790214	1
ARDS_POI:01071	ARDS mortality					D012128	C0035222	POI_outcome	11790214|12204859	2
ARDS_POI:01072	COPD exacerbation mortality					D011654	C0024117	POI_outcome	11790214	1
ARDS_POI:01073	COPD exacerbation					D011654	C0024117	POI_disease	11790214	1
