ID	Label	Parent	Definition	Synonym	Xref_DOID	Xref_MESH	Xref_UMLS	Subset	Source_PMIDs	N_Sources	Xref_CHEBI	Xref_GO	Xref_MONDO	Normalized_Label
ID	LABEL	SC %	A IAO:0000115	A oboInOwl:hasExactSynonym	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:inSubset	A rdfs:comment	A rdfs:comment	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A rdfs:comment
ARDS_POI:01001	Atelectasis	GO:0008150		Dependent Lung Atelectasis (Olv Specific)	DOID:9956	D001261	C0004144	POI_mechanism	38065200	1		GO:0097553		
ARDS_POI:01002	Gravity-dependent alveolar compression	GO:0008150		Gravity Induced Alveolar Compression				POI_mechanism	7633703|9817720|16618955|12574072|38065200|32479829	6		GO:0097553		
ARDS_POI:01003	Alveolar recruitment	GO:0008150		Optimal Alveolar Recruitment Pressure		D000072601		POI_mechanism	7633703|9817720|16618955|11967593|12574072|38065200|19910610|32479829|32697482	9		GO:0045087		
ARDS_POI:01004	Respiratory system compliance	GO:0008150		Respiratory System Compliance Optimisation		D012128	C0034096	POI_mechanism	7633703|16618955|17167013|12574072|38065200|32479829|32697482	7				
ARDS_POI:01005	Diaphragmatic dysfunction	GO:0008150		Postoperative Diaphragmatic Dysfunction		D004079		POI_mechanism	32479829|12574072|38065200|16618955	4				
ARDS_POI:01006	Dexamethasone		Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.	dexamethasone treatment for hospitalized COVID-19	DOID:0080600	D059495	C5203912	POI_intervention	32678530	1	CHEBI:41879			
ARDS_POI:01007	Dexamethasone			Dexamethasone treatment for hospitalized COVID-19		D003907	C0012634	POI_intervention	32678530	1	CHEBI:41879			
ARDS_POI:01008	COVID-19			Reduced 28-day mortality in hospitalized COVID-19	DOID:0080600	D008875	C0221198	POI_outcome	32678530	1				
ARDS_POI:01009	COVID-19			Hospitalized COVID-19	DOID:0080600	D059495	C5203912	POI_context	32678530	1				
ARDS_POI:01010	Mechanical ventilation	ARDS_POI:01066	Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.	Protective mechanical ventilation	DOID:11394	D012128	C0035222	POI_intervention	9449727	1				
ARDS_POI:01011	Mortality			Reduced mortality at 28 days		D009026	C0026565	POI_outcome	9449727|34480127	2				
ARDS_POI:01012	Mechanical ventilation			Higher rate of weaning from mechanical ventilation		D008686	C0199470	POI_outcome	9449727	1				
ARDS_POI:01013	Barotrauma			Reduced clinical barotrauma		D001416	C0005326	POI_outcome	9449727|23497608	2				
ARDS_POI:01014	Atelectasis			Alveolar collapse and cyclic reopening	DOID:9956	D001261	C0004144	POI_mechanism	9449727|8520744	2		GO:0097553		
ARDS_POI:01015	Alveolar overdistension			Alveolar overdistention		D055371	C1963265	POI_mechanism	9449727	1				
ARDS_POI:01016	Alveolar injury			Perpetuation of alveolar injury		D000860	C0856169	POI_mechanism	9449727	1		GO:0035886		
ARDS_POI:01017	Atelectasis			Prevention of alveolar collapse and cyclic reopening	DOID:9956	D001261	C0004144	POI_mechanism	9449727	1		GO:0097553		
ARDS_POI:01018	Alveolar Overdistension Prevention			Prevention of alveolar overdistention		D056149	C1881830	POI_mechanism	9449727	1				
ARDS_POI:01019	Acute respiratory distress syndrome				DOID:11394	D012128	C0035222	POI_disease	11790214|30455077|24102072|25268516|8520744|18270352|33915103|11902249|12163791|14668608|32728965|16783553|24853585|33140180|15329426|9449727|16932229|19325471|8706481|30211618|10075054|14707568|9603111|12441753	24			MONDO:0100130	
ARDS_POI:01020	Fluid management		Conservative fluid management strategy applied for 7 days in patients with acute lung injury.	Conservative fluid management strategy	DOID:11394	D012128	C0035222	POI_intervention	16714767	1				
ARDS_POI:01021	Fluid management			Conservative fluid management strategy		D005440	C0150786	POI_intervention	31258917|16714767	2				
ARDS_POI:01022	Lung function			Improved lung function		D008176	C0035254	POI_outcome	16714767	1		GO:0007585		
ARDS_POI:01023	Mechanical ventilation			Reduced mechanical ventilation duration		D053941	C0022726	POI_outcome	17426195|16714767	2				
ARDS_POI:01024	Intensive Care Unit stay duration			Reduced ICU stay duration		D007238	C0021313	POI_outcome	16714767	1				
ARDS_POI:01025	Organ failure			No change in nonpulmonary organ failures		D009102	C0026776	POI_outcome	16714767	1				
ARDS_POI:01026	Acute lung injury				DOID:11394	D012128	C0035222	POI_context	11549535|24716641|19103612|19841457|15269312|18270352|11902249|20558628|21976613|19050621|11435237|24247473|15286546|18565951|15644641|7633703|16374174|8275731|9817720|22491953|22307571|8004312|19325471|21562125|12615633|20483951|15034650|16714768|19001507|16081548|16714767|10470568|17944012	33				
ARDS_POI:01027	Diuresis	GO:0008150				http://purl.bioontology.org/ontology/MESH/D004231	C0012633	POI_mechanism	16714767	1		GO:0035810		
ARDS_POI:01028	Fluid Restriction	GO:0008150				D005440	C0016697	POI_mechanism	16714767	1				
ARDS_POI:01029	Lung Function	GO:0008150		Lung Function Improvement		D008168	C0035245	POI_mechanism	16714767	1		GO:0007585		
ARDS_POI:01030	Organ Perfusion	GO:0008150		Extrapulmonary Organ Perfusion		D010477	C0030317	POI_mechanism	16714767	1		GO:0015671		
ARDS_POI:01031	Extracorporeal membrane oxygenation	ARDS_POI:02001		Extracorporeal membrane oxygenation (ECMO)	DOID:11394	D005033	C0015879	POI_intervention	9315812|19762075|34127027|25062496|23406535	5				
ARDS_POI:01032	Extracorporeal membrane oxygenation					D005033	C0015879	POI_intervention	19762075	1				
ARDS_POI:01033	Mechanical Ventilation			Conventional ventilation management		D012121	C0020568	POI_intervention	19762075	1				
ARDS_POI:01034	Mortality			Death or severe disability at 6 months		D009026	C0026565	POI_outcome	19762075	1				
ARDS_POI:01035	Respiratory Failure			Severe adult respiratory failure	DOID:11162	D012128	C0035222	POI_intervention	19762075	1				
ARDS_POI:01036	COVID-19			SARS-CoV-2-induced hypercoagulability	DOID:0080600	D000086382	C5203670	POI_mechanism	32367170	1				
ARDS_POI:01037	Acute respiratory distress syndrome			Thrombotic complications in COVID-19 ARDS	DOID:11394	D012128	C0035222	POI_outcome	32367170	1				
ARDS_POI:01038	COVID-19			COVID-19-induced endothelial dysfunction	DOID:0080600	D000086382	C5203670	POI_mechanism	32367170	1				
ARDS_POI:01039	COVID-19			COVID-19-induced procoagulant state	DOID:0080600	D000086382	C5203670	POI_mechanism	32367170	1				
ARDS_POI:01040	Acute respiratory distress syndrome			COVID-19-associated ARDS	DOID:11394	D012128	C0035222	POI_context	32367170|32859264|32616077|32861275|34127027|32697482	6				
ARDS_POI:01041	COVID-19				DOID:0080600	C000657245	C5712302	POI_disease	32367170|33764378|35569448|32616077|33341155|33080002|32483488|34480127|32442528	9			MONDO:0100096	
ARDS_POI:01042	COVID-19	GO:0008150		Covid 19 Inflammation Mediated Thrombosis	DOID:0080600	D000086382	C5203670	POI_mechanism	32367170	1				
ARDS_POI:01043	Delirium		Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.	Delirium duration	DOID:4168	D003702	C0011573	POI_mechanism	24088092	1				
ARDS_POI:01044	Cognitive Impairment			Global cognitive impairment	DOID:12236	D002968	C0022407	POI_outcome	24088092	1				
ARDS_POI:01045	Executive Function			Executive function impairment		D005049	C0014861	POI_outcome	24088092	1		GO:0008150		
ARDS_POI:01046	Critical Illness			Critical illness context	DOID:0050897	D003287	C0010520	POI_context	18434379|33009098|10520649|27755068|9279244|27620292|18283429|25855899|24088092|17138955|16204666|9069000|15078758|23689789|35715504|18511703|12006450|25496103|10477776|33080002|27818331|29508705	22				
ARDS_POI:01047	Positive end-expiratory pressure	ARDS_POI:01066	Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.	Higher PEEP levels	DOID:11394	D012128	C0035222	POI_intervention	15269312	1				
ARDS_POI:01048	Mortality			No difference in mortality or unassisted breathing days		D009026	C0026565	POI_outcome	15269312	1				
ARDS_POI:01049	Acute respiratory distress syndrome				DOID:11394	D012128	C0035222	POI_context	29466596|8630585|27755068|8569018|19841457|8756805|11967593|15269312|14645314|9228372|8810592|32410714|37633303|9559604|32631393|28877748|19903918|27018314|27611637|27179847|24435203|9769263|8111581|8810593|9603127|12709468|12897997|9105072|28222804|10579250|16137357|27734109|11371406|30048331|30776290|11008997|27983872|10470743|9929089|33784486|23497608|18626628|33876268|10404912|17585106|20483951|10789668|11790648|27342819|15774053|19001507|28108768|11897644|17383982|32861275|17133177|9310799	57			MONDO:0100130	
ARDS_POI:01050	Alveolar recruitment			Alveolar recruitment pressure optimization		D000072601		POI_mechanism	15269312	1		GO:0045087		
ARDS_POI:01051	Respiratory system compliance			Lung compliance optimization		D012128	C0034096	POI_mechanism	15269312|8111581	2				
ARDS_POI:01052	Ventilator-induced lung injury			Ventilator-induced lung injury prevention		D055371		POI_mechanism	15269312	1		GO:0097553		
ARDS_POI:01053	COVID-19			Critically ill COVID-19 adults in NYC	DOID:0080600	D000086382	C5203670	POI_population	32442528	1				
ARDS_POI:01054	Mortality			In-hospital mortality		http://purl.bioontology.org/ontology/MESH/D017052	C0026565	POI_outcome	32442528	1				
ARDS_POI:01055	Mechanical ventilation			Invasive mechanical ventilation		D053120	C0199926	POI_outcome	32442528|33823862	2				
ARDS_POI:01056	Vasopressor Agents			Vasopressor use		D014662	C0042402	POI_outcome	32442528	1				
ARDS_POI:01057	Renal replacement therapy					http://purl.bioontology.org/ontology/MESH/D017582	C0086675	POI_outcome	32442528	1				
ARDS_POI:01058	Time to clinical deterioration			Time to in-hospital deterioration		D061345	C1521828	POI_outcome	32442528	1				
ARDS_POI:01059	lung ultrasound for acute respiratory failure diagnosis		Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.	BLUE protocol	DOID:11394	D012128	C0035222	POI_intervention	18403664	1				
ARDS_POI:01060	Ultrasound artifacts			Lung ultrasound artifacts		D000816	C0183632	POI_mechanism	18403664	1				
ARDS_POI:01061	Lung sliding sign			Lung sliding assessment		D000070641	C4236634	POI_mechanism	18403664	1				
ARDS_POI:01062	Alveolar consolidation			Alveolar consolidation detection		D001424	C0240347	POI_mechanism	18403664	1				
ARDS_POI:01063	Pleural Effusion			Pleural effusion detection	DOID:11515	D010996	C0032227	POI_mechanism	18403664	1				
ARDS_POI:01064	Ultrasound imaging			Ultrasound profile integration		D014463	C0041618	POI_mechanism	18403664	1				
ARDS_POI:01065	Acute Respiratory Failure			Acute respiratory failure diagnosis	DOID:11162	D012131	C0035229	POI_outcome	18403664	1				
ARDS_POI:01066	Low tidal volume ventilation		Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.	Lung-protective ventilation strategy	DOID:11394	D012128	C0035222	POI_intervention	23902482|10404912	2				
ARDS_POI:01067	Cytokine response			Reduced pulmonary and systemic cytokine response		D006849	C0006850	POI_outcome	10404912	1		GO:0034097		
ARDS_POI:01068	alveolar recruitment maneuver			Recruitment/derecruitment minimization		D006868	C1142475	POI_mechanism	10404912	1				
ARDS_POI:01069	Alveolar overdistention			Alveolar overdistention minimization		D000860	C0520681	POI_mechanism	10404912	1				
ARDS_POI:01070	Mechanical ventilation			Mechanical ventilation outcomes		D008686	C0199470	POI_outcome	11790214	1				
ARDS_POI:01071	Acute respiratory distress syndrome			ARDS mortality	DOID:11394	D012128	C0035222	POI_outcome	11790214|12204859	2				
ARDS_POI:01072	Mortality			COPD exacerbation mortality		D011654	C0024117	POI_outcome	11790214	1				
ARDS_POI:01073	Chronic Obstructive Pulmonary Disease Exacerbation			COPD exacerbation	DOID:0050741	D011654	C0024117	POI_disease	11790214	1				
ARDS_POI:01074	One-lung ventilation			Dependent lung atelectasis with one-lung ventilation		D016893	C0199470	POI_mechanism	32479829|12574072|16618955	3				
ARDS_POI:01075	Pulmonary complications			Postoperative pulmonary complications		D011656	C0032943	POI_outcome	32479829|16618955	2				
ARDS_POI:01076	One-lung ventilation					D053120	C0199926	POI_context	7599810|11445688|12574072|16352797|32479829	5				
ARDS_POI:01077	spontaneous breathing trial	ARDS_POI:01080	Ventilator weaning using a single daily trial of spontaneous breathing, rather than multiple or continuous trials.	once-daily spontaneous breathing trial		D011895	C0034063	POI_intervention	7823995	1				
ARDS_POI:01078	Weaning duration			Reduced weaning duration		D014886	C0043121	POI_outcome	7823995|16840741	2				
ARDS_POI:01079	Successful weaning			Increased successful weaning rate		D015300	C0043083	POI_outcome	7823995	1				
ARDS_POI:01080	Mechanical ventilation			Weaning from mechanical ventilation		D018118	C0043299	POI_context	7823995|12411288|9279224	3				
ARDS_POI:01081	Ventilator rate adjustment			Ventilator rate titration		D012121	C0199451	POI_mechanism	7823995	1				
ARDS_POI:01082	Pressure support ventilation weaning					D015300	C0199470	POI_mechanism	7823995	1				
ARDS_POI:01083	Spontaneous breathing trial			Spontaneous breathing trial frequency		D015300	C0087151	POI_mechanism	7823995	1				
ARDS_POI:01084	Acute respiratory distress syndrome		Latent class analysis to identify distinct subphenotypes within acute respiratory distress syndrome based on clinical and biological data.	ARDS subphenotype identification	DOID:11394	D012128	C0035222	POI_intervention	24853585	1				
ARDS_POI:01085	Acute respiratory distress syndrome			ARDS hyperinflammatory subphenotype	DOID:11394	D012128	C0035222	POI_outcome	24853585	1				
ARDS_POI:01086	Ventilator-free days			Higher mortality, fewer ventilator-free days, fewer organ failure-free days			C3853727	POI_outcome	24853585	1				
ARDS_POI:01087	Positive end-expiratory pressure			Differential PEEP response by ARDS subphenotype		D010863	C0034084	POI_outcome	24853585	1				
ARDS_POI:01088	Acute respiratory distress syndrome	GO:0008150		Ards Inflammation Severity	DOID:11394	D012128	C0035222	POI_mechanism	24853585	1				
ARDS_POI:01089	Acute respiratory distress syndrome	GO:0008150		Ards Shock Metabolic Acidosis	DOID:11394	D012128	C0035222	POI_mechanism	24853585	1				
ARDS_POI:01090	Acute respiratory distress syndrome		3 categories of ARDS based on hypoxemia severity (mild, moderate, severe), with explicit criteria for timing, edema origin, and chest radiograph.	Berlin definition for ARDS	DOID:11394	D012128	C0035222	POI_intervention	23370917|29466596	2				
ARDS_POI:01091	Acute respiratory distress syndrome			Berlin definition ARDS criteria	DOID:11394	D012128	C0035222	POI_intervention	29466596	1				
ARDS_POI:01092	Acute respiratory distress syndrome			Improved ARDS diagnosis	DOID:11394	D012128	C0035222	POI_outcome	29466596	1				
ARDS_POI:01093	Ventilator-induced lung injury			Minimize ventilator-induced lung injury		D055371		POI_intervention	29466596	1		GO:0097553		
ARDS_POI:01094	Acute respiratory distress syndrome			Reduced ARDS mortality	DOID:11394	D012128	C0035222	POI_outcome	7924367|29466596	2				
ARDS_POI:01095	Prone positioning			Prone positioning for ARDS		D056152	C0150119	POI_intervention	29466596|19903918|14668608	3				
ARDS_POI:01096	Acute respiratory distress syndrome			Ineffective pharmacologic interventions for ARDS	DOID:11394	D012128	C0035222	POI_intervention	29466596	1				
ARDS_POI:01097	Acute respiratory distress syndrome			No benefit of pharmacologic ARDS treatments	DOID:11394	D012128	C0035222	POI_outcome	29466596	1				
ARDS_POI:01098	Pulmonary complications			Reduced major pulmonary and extrapulmonary complications within 7 days		D011656	C0032943	POI_outcome	23902482	1				
ARDS_POI:01099	Abdominal Surgical Procedures			Major abdominal surgery context		D015746	C0001898	POI_context	23902482|11965272	2				
ARDS_POI:01100	Acute respiratory distress syndrome	ARDS_POI:01066	Ventilation strategy using low tidal volumes, recruitment maneuvers, and high positive end-expiratory pressure for acute lung injury and acute respiratory distress syndrome.	Experimental ventilation strategy for ARDS	DOID:11394	D012128	C0035222	POI_intervention	18270352	1				
ARDS_POI:01101	Tidal volume ventilation			Target tidal volumes of 6 mL/kg of predicted body weight		D008686	C0199470	POI_intervention	18270352	1				
ARDS_POI:01102	Plateau pressure			Plateau pressures not exceeding 40 cm H2O			C3714541	POI_intervention	18270352	1				
ARDS_POI:01103	Lung recruitment maneuver			Recruitment maneuvers	DOID:11394	D012128	C0035222	POI_intervention	11790648|18270352	2				
ARDS_POI:01104	Positive end-expiratory pressure			Higher positive end-expiratory pressures		D010863	C0034084	POI_intervention	18270352	1				
ARDS_POI:01105	Acute respiratory distress syndrome			Reduced mortality in ARDS	DOID:11394	D012128	C0035222	POI_outcome	9669790|8814466|19325471|18626628|33784486|18270352|9449728|9105072|9847275|21666446|28222804	11				
ARDS_POI:01106	Acute respiratory distress syndrome			Reduced barotrauma in ARDS	DOID:11394	D012128	C0035222	POI_outcome	11967593|18270352	2				
ARDS_POI:01107	Acute respiratory distress syndrome			Reduced refractory hypoxemia in ARDS	DOID:11394	D012128	C0035222	POI_outcome	18270352	1				
ARDS_POI:01108	Acute respiratory distress syndrome			Reduced death with refractory hypoxemia in ARDS	DOID:11394	D012128	C0035222	POI_outcome	18270352	1				
ARDS_POI:01109	Early ICU mobility therapy protocol		A protocol using an ICU mobility team to initiate physical therapy within 48 hours of mechanical ventilation for acute respiratory failure.	ICU mobility protocol	DOID:11394	D012128	C0035222	POI_intervention	18596631	1				
ARDS_POI:01110	Physical Therapy			Early physical therapy in ICU		D026761	C0031831	POI_intervention	18596631	1				
ARDS_POI:01111	Physical Therapy			Increased physical therapy provision in ICU survivors		D010996	C0034867	POI_outcome	18596631	1				
ARDS_POI:01112	Intensive care unit length of stay			Reduced ICU length of stay		D007835	C0023013	POI_outcome	10634340|27734109|7874950|18596631|9556465|15599160	6				
ARDS_POI:01113	Length of stay			Reduced hospital length of stay		D006801	C0022727	POI_outcome	9872200|18596631	2				
ARDS_POI:01114	Acute respiratory failure				DOID:11162	D011655	C0034065	POI_intervention	26651376|9700176|35569448|11035684|27755068|12447511|18090351|31408142|8542113|27367766|21666446|11990914|10634340|18629471|21958974|11529210|18596631|10712326|12958051|25062496|21242788|20581167	22				
ARDS_POI:01115	Critical Illness Myopathy	GO:0008150		Immobilization Weakness Critical Illness	DOID:0080203	D009135	C0410674	POI_mechanism	18596631	1				
ARDS_POI:01116	Dexamethasone		Intravenous dexamethasone 20 mg daily for 5 days, then 10 mg daily for 5 days or until ICU discharge, for treatment of COVID-19-associated ARDS.	Dexamethasone for COVID-19-associated ARDS	DOID:11394	D012128	C0035222	POI_intervention	32876695	1	CHEBI:41879			
ARDS_POI:01117	Dexamethasone			Dexamethasone for COVID-19-associated ARDS		D003907	C0011777	POI_intervention	32876695	1	CHEBI:41879			
ARDS_POI:01118	Ventilator-free days			Increased ventilator-free days at 28 days			C3853727	POI_outcome	32876695	1				
ARDS_POI:01119	SOFA score			Improved SOFA score at 7 days		D064488	C0038951	POI_outcome	32876695	1				
ARDS_POI:01120	Acute respiratory distress syndrome			COVID-19-associated ARDS	DOID:11394	D012128	C0035222	POI_disease	32876695	1				
ARDS_POI:01121	prone positioning		Placing patients in a prone (face down) position for six or more hours daily for 10 days.		DOID:11394	D012128	C0035222	POI_intervention	19903918|24102072|24435203|33823862|33464919|14668608|11529210	7				
ARDS_POI:01122	Prone positioning			Prone positioning in acute respiratory failure		D056152	C0150119	POI_intervention	11529210	1				
ARDS_POI:01123	Oxygenation			Improved oxygenation		D010375	C0029863	POI_outcome	15547166|34425070|16096441|19001507|16081548|17383982|28762180|11529210	8				
ARDS_POI:01124	No survival benefit							POI_outcome	11529210	1				
ARDS_POI:01125	Prone positioning	GO:0008150		Oxygenation Improvement Prone Positioning		D056152	C0150119	POI_mechanism	11529210	1				
ARDS_POI:01126	Prone positioning	GO:0008150		No Survival Benefit Prone Positioning		D056152	C0150119	POI_mechanism	11529210	1				
ARDS_POI:01127	acute chest syndrome		Treatment protocol including matched transfusions, bronchodilators, and bronchoscopy for acute chest syndrome in sickle cell disease.	Treatment protocol for acute chest syndrome in sickle cell disease	DOID:0050711	D056586	C0239952	POI_intervention	10861320	1				
ARDS_POI:01128	Acute chest syndrome				DOID:1584	http://purl.bioontology.org/ontology/MESH/D056586	C0854178	POI_disease	10861320	1			MONDO:0005632	
ARDS_POI:01129	Sickle cell disease				DOID:10923	D012719	C0036341	POI_disease	10861320	1				
ARDS_POI:01130	Blood Transfusion			Matched transfusions		D001522	C0013384	POI_intervention	10861320	1				
ARDS_POI:01131	Bronchodilator Agents			Bronchodilators		D001960	C0006078	POI_intervention	10861320	1				
ARDS_POI:01132	Bronchoscopy					D001976	C0006118	POI_intervention	10861320	1				
ARDS_POI:01133	Fat embolism				DOID:14472	D005151	C0014652	POI_mechanism	10861320	1				
ARDS_POI:01134	Pneumonia			Community-acquired pneumonia	DOID:552	D011024	C0032285	POI_mechanism	10861320|26258555|12204871	3				
ARDS_POI:01135	Infection				DOID:4	D007239	C0021311	POI_mechanism	10861320|12006450	2				
ARDS_POI:01136	non-invasive ventilation		Non-invasive ventilation to improve survival and quality of life in patients with amyotrophic lateral sclerosis.	NIV	DOID:11110	D000690	C0023272	POI_intervention	19183949|16426990|21424246	3				
ARDS_POI:01137	Non-invasive ventilation					D000076142	C1997883	POI_intervention	16426990|21424246	2				
ARDS_POI:01138	Survival			Improved survival in ALS		D000690	C0023272	POI_outcome	16426990	1				
ARDS_POI:01139	Quality of Life			Improved quality of life in ALS		D000690	C0023272	POI_outcome	16426990	1				
ARDS_POI:01140	Amyotrophic lateral sclerosis				DOID:332	D000690	C0023272	POI_disease	16426990	1				
ARDS_POI:01141	Bulbar dysfunction			Without severe bulbar dysfunction		D002540	C0006104	POI_context	16426990	1				
ARDS_POI:01142	Mechanical ventilation	ARDS_POI:01066	Mechanical ventilation with PEEP adjusted according to esophageal pressure measurements to estimate transpulmonary pressure and optimize alveolar recruitment.	Mechanical ventilation guided by esophageal pressure	DOID:11394	D012128	C0035222	POI_intervention	19001507	1				
ARDS_POI:01143	Transpulmonary Pressure			Transpulmonary pressure monitoring		D045505	C0428696	POI_mechanism	19001507	1				
ARDS_POI:01144	Alveolar recruitment			Alveolar recruitment optimization		D000072601		POI_mechanism	19001507	1		GO:0045087		
ARDS_POI:01145	Atelectasis			Prevention of alveolar collapse	DOID:9956	D001261	C0004144	POI_mechanism	19001507	1		GO:0097553		
ARDS_POI:01146	Alveolar overdistension			Prevention of alveolar overdistension		D008171		POI_mechanism	19001507	1		GO:0097553		
ARDS_POI:01147	Esophageal pressure-guided mechanical ventilation			Ventilation guided by esophageal pressure		D045996	C0199451	POI_intervention	19001507	1				
ARDS_POI:01148	Respiratory system compliance			Improved respiratory compliance		D012128	C0034096	POI_outcome	8520744|19001507	2				
ARDS_POI:01149	restrictive red blood cell transfusion		Maintain hematocrit ≥24% in patients undergoing cardiac surgery with cardiopulmonary bypass.	Restrictive red blood cell transfusion strategy	DOID:650	D000740	C0001625	POI_intervention	20940381	1				
ARDS_POI:01150	Mortality			Similar 30-day mortality and severe morbidity vs liberal strategy		D009026	C0026565	POI_outcome	20940381	1				
ARDS_POI:01151	Cardiopulmonary Bypass			Cardiac surgery with cardiopulmonary bypass		D002315	C0007202	POI_context	20940381	1				
ARDS_POI:01152	Anemia				DOID:650	D000740	C0001625	POI_disease	20940381	1				
ARDS_POI:01153	Epidural anesthesia and analgesia		Use of epidural anaesthesia intraoperatively and epidural analgesia postoperatively for major abdominal surgery.	epidural anaesthesia and analgesia		D015733	C0014618	POI_intervention	11965272	1				
ARDS_POI:01154	Respiratory Failure			Reduced respiratory failure	DOID:11162	D012131	C0035229	POI_outcome	11965272	1				
ARDS_POI:01155	Postoperative pain			Reduced postoperative pain		D010149	C0030200	POI_outcome	11965272	1				
ARDS_POI:01156	Major Adverse Cardiovascular Events			No difference in major adverse outcomes		D000072658	C4019876	POI_outcome	11965272	1				
ARDS_POI:01157	High-risk population			High-risk population context		D056239	C0030705	POI_context	11965272	1				
ARDS_POI:01158	Positive-Pressure Ventilation		Noninvasive ventilation delivered through a face mask for patients with acute respiratory failure.	Noninvasive positive-pressure ventilation	DOID:11394	D012128	C0035222	POI_intervention	9700176|8147550|8797425|9872200|10712326|17133177|15483407|15599160|11673215	9				
ARDS_POI:01159	Oxygenation			Improved PaO2:FiO2 ratio within 1 hour		D010100	C0242402	POI_outcome	9700176	1				
ARDS_POI:01160	Serious Adverse Events			Reduced serious complications		D064418	C0877248	POI_outcome	9700176	1				
ARDS_POI:01161	Pneumonia			Reduced pneumonia/sinusitis related to intubation	DOID:552	D011014	C0032285	POI_outcome	9700176	1				
ARDS_POI:01162	Intensive Care Unit length of stay			Shorter ventilation duration and ICU LOS		D007902	C0023935	POI_outcome	9700176	1				
ARDS_POI:01163	growth hormone administration		Administration of growth hormone to critically ill adults hospitalized for prolonged periods.			D006400	C0018400	POI_intervention	10477776	1	CHEBI:37845			
ARDS_POI:01164	Mortality			Increased in-hospital mortality		D008288	C0085604	POI_outcome	25855899|23339639|10477776|33341155|25466352	5				
ARDS_POI:01165	Hospitalization, prolonged			Prolonged hospitalization		D006760	C0020025	POI_context	10477776	1				
ARDS_POI:01166	methylprednisolone therapy	ARDS_POI:02339	Prolonged administration of methylprednisolone (initial dose 2 mg/kg/day, duration 32 days) for unresolving ARDS.	prolonged methylprednisolone therapy	DOID:11394	D012128	C0035222	POI_intervention	9669790	1	CHEBI:6888			
ARDS_POI:01167	Acute respiratory distress syndrome			Improved lung function in ARDS	DOID:11394	D012128	C0035222	POI_outcome	9669790	1				
ARDS_POI:01168	Acute respiratory distress syndrome			Unresolving ARDS	DOID:11394	D012128	C0035222	POI_context	9669790	1				
