ID	Label	Definition	Synonym	Subset	Xref_MESH	Xref_DOID	Xref_UMLS	Xref_CHEBI	Xref_GO	Xref_MONDO	Comment
ID	A rdfs:label	A IAO:0000115	A oboInOwl:hasExactSynonym	A oboInOwl:inSubset	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A oboInOwl:hasDbXref	A rdfs:comment
ARDS_POI:01001	Atelectasis		Dependent Lung Atelectasis (Olv Specific)	POI_mechanism	D001261	DOID:9956	C0004144		GO:0097553		source:mechanism_node
ARDS_POI:01002	Gravity-dependent alveolar compression		Gravity Induced Alveolar Compression	POI_mechanism					GO:0097553		source:mechanism_node
ARDS_POI:01003	Alveolar recruitment		Optimal Alveolar Recruitment Pressure	POI_mechanism	D000072601				GO:0045087		source:mechanism_node
ARDS_POI:01004	Respiratory system compliance		Respiratory System Compliance Optimisation	POI_mechanism	D012128		C0034096				source:mechanism_node
ARDS_POI:01005	Diaphragmatic dysfunction		Postoperative Diaphragmatic Dysfunction	POI_mechanism	D004079						source:mechanism_node
ARDS_POI:01006	Dexamethasone	Systemic glucocorticoid therapy (dexamethasone 6 mg once daily for up to 10 days) for patients hospitalized with COVID-19.	dexamethasone treatment for hospitalized COVID-19	POI_intervention	D059495	DOID:0080600	C5203912	CHEBI:41879			source:robot_template_row
ARDS_POI:01010	Mechanical ventilation	Mechanical ventilation strategy designed to minimize alveolar injury from cyclic collapse/reopening and overdistention, involving higher PEEP, lower tidal volumes, and pressure-limited modes.	Protective mechanical ventilation	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01020	Fluid management	Conservative fluid management strategy applied for 7 days in patients with acute lung injury.	Conservative fluid management strategy	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01027	Diuresis			POI_mechanism	http://purl.bioontology.org/ontology/MESH/D004231		C0012633		GO:0035810		source:mechanism_node
ARDS_POI:01028	Fluid Restriction			POI_mechanism	D005440		C0016697				source:mechanism_node
ARDS_POI:01029	Lung Function		Lung Function Improvement	POI_mechanism	D008168		C0035245		GO:0007585		source:mechanism_node
ARDS_POI:01030	Organ Perfusion		Extrapulmonary Organ Perfusion	POI_mechanism	D010477		C0030317		GO:0015671		source:mechanism_node
ARDS_POI:01031	Extracorporeal membrane oxygenation		Extracorporeal membrane oxygenation (ECMO)	POI_intervention	D005033	DOID:11394	C0015879				source:robot_template_row
ARDS_POI:01042	COVID-19		Covid 19 Inflammation Mediated Thrombosis	POI_mechanism	D000086382	DOID:0080600	C5203670				source:mechanism_node
ARDS_POI:01043	Delirium	Duration of delirium during critical illness, associated with long-term cognitive and executive function impairment.	Delirium duration	POI_mechanism	D003702	DOID:4168	C0011573				source:robot_template_row
ARDS_POI:01047	Positive end-expiratory pressure	Mechanical ventilation with higher positive end-expiratory pressure (PEEP) levels in patients with acute lung injury and ARDS.	Higher PEEP levels	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01059	Lung ultrasound	Systematic lung ultrasound assessment including artifacts, lung sliding, consolidation, and pleural effusion to differentiate causes of acute respiratory failure.	lung ultrasound for acute respiratory failure diagnosis	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
ARDS_POI:01066	Low tidal volume ventilation	Ventilation strategy to minimize alveolar recruitment/derecruitment and overdistention, thereby reducing ventilation-induced pulmonary and systemic cytokine response.	Lung-protective ventilation strategy	POI_intervention	D012128	DOID:11394	C0035222				source:robot_template_row
