IRI,Label,Subset,Definition,Xrefs,Synonyms,Expert_Approved,Expert_Comment,Suggested_Correction,Auto_Xref,Auto_Xref_Source,Auto_Definition,PMID_Evidence,Suggested_Subset,Reclassify_Reason,Duplicate_Of,Label_Quality,Disease_Boundary_Note
ARDS_POI_03208,Angiopoietin-2,POI_biomarker,Endothelial vascular permeability factor elevated in hyperinflammatory ARDS. Promotes destabilisation of endothelial junctions.,,,,,,D042702,BioPortal,,33253239,,,,,
ARDS_POI_03211,Club cell secretory protein 16,POI_biomarker,Airway epithelial biomarker. Low serum CC-16 indicates disrupted airway epithelial barrier.,,,,,,Thesaurus.owl#C13143,BioPortal,,,,,,,
ARDS_POI_03205,Interleukin-6,POI_biomarker,Pro-inflammatory cytokine. Plasma IL-6 >400 pg/mL classifies hyperinflammatory ARDS subphenotype. Target of tocilizumab/sarilumab.,,,,,,D015850,BioPortal,,,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_03206,Interleukin-8,POI_biomarker,Neutrophil chemoattractant (CXCL8). Elevated in ARDS BAL and plasma; drives neutrophilic alveolitis. Elevated in hyperinflammatory subphenotype.,,,,,,D016209,BioPortal,,,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_03209,Plasminogen activator inhibitor-1,POI_biomarker,Procoagulant inhibitor (SERPINE1). Elevated in hyperinflammatory ARDS; reflects antifibrinolytic state and alveolar fibrin deposition.,,,,,,D017395,BioPortal,,,,,,,
ARDS_POI_03282,Protein C,POI_biomarker,Anticoagulant serine protease. LOW plasma Protein C is a key feature of hyperinflammatory ARDS subphenotype; HIGHER levels characterise hypoinflammatory phenotype. Part of the parsimonious 3-variable ,,,,,,D011486,BioPortal,,,,,,,
ARDS_POI_03283,Serum bicarbonate,POI_biomarker,Serum bicarbonate (HCO3-). LOW bicarbonate reflects metabolic acidosis — a key feature of hyperinflammatory ARDS subphenotype. Used as the third variable in the parsimonious 3-variable classifier (alo,,,,,,Thesaurus.owl#C61022,BioPortal,,,,,,,
ARDS_POI_03207,Soluble receptor for advanced glycation end-products,POI_biomarker,Circulating RAGE ectodomain; marker of type I alveolar epithelial injury. Elevated in hyperinflammatory ARDS. Predicts 90-day mortality.,,,,,,D000067759,BioPortal,,,,,,,
ARDS_POI_03271,Soluble tumour necrosis factor receptor 1,POI_biomarker,Soluble receptor for TNF-α (sTNFR1/TNFRSF1A). Elevated in hyperinflammatory ARDS subphenotype; associated with 90-day mortality. 2024-2025 literature refines its role alongside PAI-1 as a high-perform,,,,,,Thesaurus.owl#C117749,BioPortal,,,,,,,
ARDS_POI_03210,Surfactant protein D,POI_biomarker,Collectin secreted by alveolar type II cells. Serum SP-D marks alveolar-capillary barrier disruption.,,,,,,Thesaurus.owl#C111322,BioPortal,,,,,,,
ARDS_POI_03212,Tumor necrosis factor alpha,POI_biomarker,Pro-inflammatory cytokine. Elevated in early ARDS; promotes NF-κB and endothelial injury. Elevated in hyperinflammatory subphenotype.,,,,,,D014409,BioPortal,,,,,,,
ARDS_POI_02016,Acute asthmatic attack,POI_context,,,,,,,769366008,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01783,Acute hospitalization,POI_context,,,,,,,D006760,BioPortal,The confinement of a patient in a hospital.,,,,,,
ARDS_POI_01714,Acute hypercapnic respiratory failure,POI_context,,,,,,,709110009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01311,Acute illness,POI_context,,,,,,,402347007,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02692,Acute respiratory failure in COPD,POI_context,,,,,,,65710008,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01737,Acute respiratory insufficiency after lung resection,POI_context,,,,,,,D012131,BioPortal,"Failure to adequately provide oxygen to cells of the body and to remove excess carbon dioxide from them. (Stedman, 25th ed)",,,,,,
ARDS_POI_03286,Aggressive recruitment maneuver strategy,POI_context,High sustained inflation pressure (>40 cmH₂O) recruitment maneuvers aimed at opening collapsed lung. ART trial (PMID:28973363): HR 1.20 for 28-day mortality — definitive harm in unselected moderate-se,,,,,,Thesaurus.owl#C147914,BioPortal,,28973363,,,,,
ARDS_POI_02768,Alcoholism,POI_context,,,,,,,D000437,BioPortal,"A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse cons",,,,,,
ARDS_POI_01685,Asthma context,POI_context,,,,,,,263491009,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02277,Autopsy population,POI_context,,,,,,,D001344,BioPortal,Postmortem examination of the body.,,,,,,
ARDS_POI_02823,Awake state,POI_context,,,,,,,248218005,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02221,Burn injury,POI_context,,,,,,,48333001,BioPortal,"Generic burn injury, including that due to excessive heat, as well as cauterization, friction, electricity, radiation, sunlight, and other causes.",,,,,,
ARDS_POI_02599,COPD with acute respiratory failure,POI_context,,,,,,,65710008,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01570,COPD with respiratory failure,POI_context,,,,,,,409622000,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_02318,Candida respiratory colonization,POI_context,,,,,,,22211000175108,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01762,Cardiac surgery context,POI_context,,,,,,,408466002,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01151,Cardiac surgery with cardiopulmonary bypass,POI_context,,,,,,,D002315,BioPortal,Diversion of the flow of blood from the entrance of the right atrium directly to the aorta (or femoral artery) via an oxygenator thus bypassing both the heart and lungs.,,,,,,
ARDS_POI_02055,Cardiogenic pulmonary edema,POI_context,,,,,,,95437004,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
ARDS_POI_01411,Chest radiograph interpretation,POI_context,,,,,,,Thesaurus.owl#C168098,BioPortal,A history of having had an abnormal chest radiograph.,,,,,,
ARDS_POI_01944,Chronic obstructive pulmonary disease,POI_context,,,,,,,13645005,BioPortal,Clinical or research context that modifies interpretation of interventions and outcomes. [Definition needed: describe how this context alters evidence applicability],,,,,,
