IRI,Label,Subset,Definition,Xrefs,Synonyms,Expert_Approved,Expert_Comment,Suggested_Correction,Auto_Xref,Auto_Xref_Source,Auto_Definition,PMID_Evidence,Suggested_Subset,Reclassify_Reason,Duplicate_Of,Label_Quality,Disease_Boundary_Note
ARDS_POI_03205,Interleukin-6,POI_biomarker,Pro-inflammatory cytokine. Plasma IL-6 >400 pg/mL classifies hyperinflammatory ARDS subphenotype. Target of tocilizumab/sarilumab.,,,,,,D015850,BioPortal,,,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_03206,Interleukin-8,POI_biomarker,Neutrophil chemoattractant (CXCL8). Elevated in ARDS BAL and plasma; drives neutrophilic alveolitis. Elevated in hyperinflammatory subphenotype.,,,,,,D016209,BioPortal,,,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_02843,92 kda gelatinase elevation ards,POI_disease,,,,,,,C425160,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_biomarker,"This is a biomarker (MMP-9), not a disease",,POOR — starts with number,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_01084,ARDS subphenotype identification,POI_disease,,,,,,,Thesaurus.owl#C25737,BioPortal,The procedure of having an identity established.,,POI_mechanism,"This is a diagnostic/classification process, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02058,Acute On Chronic Respiratory Failure Pathogenesis,POI_disease,,,,,,,67905004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02550,Alveolar Edema Reduction,POI_disease,,,,,,,183328002,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_outcome,"This is an outcome, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02853,American european ards definition,POI_disease,,,,,,,900000000000550004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_context,"This is a historical context/criteria, not a disease",,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02877,Berlin definition ards severity criteria,POI_disease,,,,,,,Thesaurus.owl#C117962,BioPortal,A standard from which a judgment concerning an event severity can be established.,22797452,POI_context,Diagnostic criteria — belongs in POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02878,Berlin definition criteria for ards,POI_disease,,,,,,,Thesaurus.owl#C173500,BioPortal,"A consensus definition for acute respiratory distress syndrome that establishes three mutually exclusive categories of ARDS based on degree of hypoxemia, radiographic severity, respiratory system compliance, positive end-expiratory pressure, and corrected expired volume per minute.",22797452,POI_context,Diagnostic criteria — belongs in POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02057,Cardiogenic Pulmonary Edema Pathogenesis,POI_disease,,,,,,,95437004,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02891,Criteria defined clinical algorithm ards treatment,POI_disease,,,,,,,Thesaurus.owl#C126042,BioPortal,A description of the disease response to treatment as characterized by the clinical trial protocol.,,POI_context,Diagnostic criteria → POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02056,De Novo Acute Respiratory Failure Pathogenesis,POI_disease,,,,,,,65710008,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_mechanism,Pathogenesis = mechanism,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02905,Delphi ards definition,POI_disease,,,,,,,D003697,BioPortal,"An iterative questionnaire designed to measure consensus among individual responses. In the classic Delphi approach, there is no interaction between responder and interviewer.",,POI_context,Diagnostic criteria → POI_context,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_03060,Procollagen iii levels elevated in ards balf,POI_disease,,,,,,,395690006,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_biomarker,Biomarker measurement → POI_biomarker,,,
ARDS_POI_03138,Timp elevation ards,POI_disease,,,,,,,103720008,BioPortal,"Disease, syndrome, or clinical condition. [Definition needed: describe diagnostic criteria, clinical features, and relationship to perioperative organ injury]",,POI_biomarker,Biomarker measurement → POI_biomarker,,,REVIEW: May belong in different subset — see boundary rules
ARDS_POI_02069,48-hr NMBA infusion,POI_intervention,,,,,,,19622008,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,REVIEW,Starts with number — likely fragment or statistic,,POOR — starts with number,
ARDS_POI_01838,80% perioperative oxygen,POI_intervention,,,,,,,Thesaurus.owl#C28374,BioPortal,"Clinical intervention or therapeutic strategy. [Definition needed: describe mechanism of action, typical dose/protocol, and relevant ARDS trial evidence]",,REVIEW,Starts with number — likely fragment or statistic,,POOR — starts with number,
ARDS_POI_01227,Elevated interleukin-6 and interleukin-8,POI_mechanism,,,,,,,D016209,BioPortal,A member of the CXC chemokine family that plays a role in the regulation of the acute inflammatory response. It is secreted by variety of cell types and induces CHEMOTAXIS of NEUTROPHILS and other inflammatory cells.,,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_02451,"0.38 per 1,000 adult population",POI_outcome,,,,,,,376161000221102,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,POI_disease,Epidemiological statistic — consider removing,,POOR — starts with number,
ARDS_POI_02841,48 hr neuromuscular blocking agents nmba,POI_outcome,,,,,,,373295003,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,POI_intervention,"This is an intervention, not an outcome",,POOR — starts with number,
ARDS_POI_02842,80 percent oxygen perioperative,POI_outcome,,,,,,,31465005,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,REVIEW,Starts with number — likely fragment or statistic,,POOR — starts with number,
ARDS_POI_01220,Decreased interleukin-6,POI_outcome,,,,,,,LP16474-6,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_01221,Decreased interleukin-8,POI_outcome,,,,,,,MTHU015337,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,REMOVE_OR_CONTEXT,Geographic location — not an ontology concept,,,
ARDS_POI_01662,ICU intubation bundle management protocol,POI_outcome,,,,,,,Thesaurus.owl#C218827,BioPortal,"A description of plans for detecting, reviewing, and reporting any deviations from the protocol.",,POI_intervention,This is an intervention bundle,,,
ARDS_POI_03122,Short acting neuromuscular blocking agents,POI_outcome,,,,,,,373295003,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,POI_intervention,Intervention,,,
ARDS_POI_03139,Timp synthesis regulation il6,POI_outcome,,,,,,,LP101821-9,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,POI_mechanism,Molecular mechanism,,,
ARDS_POI_03141,Use of neuromuscular blockers,POI_outcome,,,,,,,LP18062-7,BioPortal,"Clinical outcome measure or endpoint. [Definition needed: describe measurement method, timepoint, and clinical significance in ARDS context]",,POI_intervention,Intervention,,,
ARDS_POI_02840,038 per 1000 adult population,POI_population,,,,,,,376161000221102,BioPortal,Patient population subgroup with distinct characteristics relevant to ARDS management. [Definition needed: describe defining criteria and implications for care],,REVIEW,Starts with number — likely fragment or statistic,,POOR — starts with number,
